"Parameter.ID","Parameter.Label","Columns","True Number of Groups","Method","Statistic","Determined Number of Groups","RunTime"
5,"High overlap, full covariance + correlation",1000,2,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","133.1033s"
1,"Well-separated means, identity cov",10,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","27.3697s"
1,"Well-separated means, identity cov",100,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","2.0861s"
1,"Well-separated means, identity cov",500,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","10.7549s"
1,"Well-separated means, identity cov",1000,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","10.1817s"
2,"Closer means, identity cov",100,3,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
2,"Closer means, identity cov",500,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","11.0841s"
2,"Closer means, identity cov",1000,3,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",10,3,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",1000,1,"mclustBootstrapLRT: VII","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",100,3,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,3,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","13.1422s"
4,"Full covariance, small overlap",10,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","0.558s"
4,"Full covariance, small overlap",100,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","2.2063s"
4,"Full covariance, small overlap",500,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","7.8904s"
4,"Full covariance, small overlap",1000,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","20.6006s"
5,"High overlap, full covariance + correlation",10,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","6.3786s"
5,"High overlap, full covariance + correlation",500,3,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","26.3281s"
1,"Well-separated means, identity cov",10,2,"mclustBootstrapLRT: VII","p-value: 0.001",">1","21.7642s"
5,"High overlap, full covariance + correlation",1000,3,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","0.8526s"
1,"Well-separated means, identity cov",100,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","2.222s"
1,"Well-separated means, identity cov",500,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","8.9383s"
1,"Well-separated means, identity cov",1000,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","13.765s"
2,"Closer means, identity cov",10,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","0.6174s"
2,"Closer means, identity cov",100,4,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
2,"Closer means, identity cov",500,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","10.4981s"
2,"Closer means, identity cov",1000,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","15.5662s"
3,"Closer still, diag cov varied scale",10,4,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
1,"Well-separated means, identity cov",100,2,"mclustBootstrapLRT: VII","p-value: 0.001",">1","1.3586s"
3,"Closer still, diag cov varied scale",100,4,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,4,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","6.92s"
4,"Full covariance, small overlap",10,4,"mclustBootstrapLRT: EVV","p-value: 0.013",">1","0.4972s"
4,"Full covariance, small overlap",100,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","2.0506s"
4,"Full covariance, small overlap",500,4,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","25.7371s"
5,"High overlap, full covariance + correlation",10,4,"mclustBootstrapLRT: EVV","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","51.4961s"
1,"Well-separated means, identity cov",500,2,"mclustBootstrapLRT: VII","p-value: 0.001",">1","1.2629s"
5,"High overlap, full covariance + correlation",1000,4,"mclustBootstrapLRT: EVV","p-value: 0.001",">1","7.0936s"
1,"Well-separated means, identity cov",10,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
1,"Well-separated means, identity cov",100,1,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","1.6369s"
1,"Well-separated means, identity cov",500,1,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","4.3068s"
1,"Well-separated means, identity cov",1000,1,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","6.4987s"
2,"Closer means, identity cov",10,1,"mclustBootstrapLRT: VVV","p-value: 0.1848","1","1.8749s"
2,"Closer means, identity cov",100,1,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","2.0196s"
2,"Closer means, identity cov",500,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",10,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
1,"Well-separated means, identity cov",1000,2,"mclustBootstrapLRT: VII","p-value: 0.001",">1","3.5478s"
3,"Closer still, diag cov varied scale",100,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
4,"Full covariance, small overlap",100,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
4,"Full covariance, small overlap",500,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
4,"Full covariance, small overlap",1000,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",10,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",100,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",500,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
5,"High overlap, full covariance + correlation",1000,1,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
1,"Well-separated means, identity cov",10,2,"mclustBootstrapLRT: VVV","p-value: 0.0929","1","133.8507s"
1,"Well-separated means, identity cov",100,2,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","1.2005s"
1,"Well-separated means, identity cov",500,2,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","4.1514s"
1,"Well-separated means, identity cov",1000,2,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","13.1755s"
2,"Closer means, identity cov",10,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
2,"Closer means, identity cov",100,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
2,"Closer means, identity cov",500,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
2,"Closer means, identity cov",1000,2,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","10.7362s"
3,"Closer still, diag cov varied scale",10,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
2,"Closer means, identity cov",100,2,"mclustBootstrapLRT: VII","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",100,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",500,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
3,"Closer still, diag cov varied scale",1000,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
4,"Full covariance, small overlap",10,2,"mclustBootstrapLRT: VVV","p-value: 0.1039","1","0.5322s"
4,"Full covariance, small overlap",100,2,"mclustBootstrapLRT: VVV","p-value: 0.001",">1","0.9953s"
4,"Full covariance, small overlap",500,2,"mclustBootstrapLRT: VVV","p-value: NA","NA",NA
